columna,familia,dtype,dtype_general,n_null,null_pct,n_unique,unique_pct,es_constante,uso_sugerido,motivo,min,p25,median,mean,p75,max,std
infys_secc_cong_c2015_2020_derivado_mun_consitio3c3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.4093959731543624,0.7441566645609602,0.8431618569636136,0.8183783244298659,0.9085872576177284,1.0,0.11746615507030436
infys_secc_cong_c2015_2020_derivado_mun_consitio3c3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",10.0,145.0,287.0,411.39833850198187,688.0,1583.0,379.12123165636694
infys_secc_cong_c2015_2020_derivado_mun_consitio4c3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.4026845637583892,0.7692307692307693,0.8409090909090909,0.8173747349668468,0.9,1.0,0.11482354715746931
infys_secc_cong_c2015_2020_derivado_mun_consitio4c3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",10.0,145.0,287.0,411.39833850198187,688.0,1583.0,379.12123165636694
infys_secc_cong_c2015_2020_derivado_mun_consueloc3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",18.0,257.0,616.0,819.6591738377386,1354.0,3201.0,748.9850428861212
infys_secc_cong_c2015_2020_derivado_mun_cveestadoc3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",1.0,8.0,16.0,16.49997603937757,25.0,32.0,9.233707533061374
infys_secc_cong_c2015_2020_derivado_mun_cveestadoc3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",18.0,257.0,616.0,819.6279189172537,1354.0,3201.0,748.9937286330535
infys_secc_cong_c2015_2020_derivado_mun_muestreadoc3_mean_20152020,infys,float64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",0.1006493506493506,0.3831417624521073,0.4619565217391304,0.44821369269418726,0.5283687943262412,0.6486486486486487,0.10781913863334726
infys_secc_cong_c2015_2020_derivado_mun_muestreadoc3_valid_count_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",18.0,257.0,616.0,819.6591738377386,1354.0,3201.0,748.9850428861212
infys_secc_cong_c2015_2020_derivado_mun_n_registros_20152020,infys,int64,numeric,0,0.0,32,0.00011,0,excluir,"columna auxiliar, trazabilidad, conteo de válidos o código técnico",18.0,257.0,616.0,819.6591738377386,1354.0,3201.0,748.9850428861212
