feature,familia,mean_original_imputed,std_original_imputed,min_original_imputed,max_original_imputed
infys_secc_sitios_c2015_2020_derivado_punto_confotografiahemisfericac3_mean_20152020,infys,0.12044632489658584,0.04919865746090339,0.0166840458811261,0.1956521739130435
infys_secc_sitios_c2015_2020_derivado_punto_conparametrosfisicoquimicosc3_mean_20152020,infys,0.013657237431733494,0.03974130196443936,0.0,0.2275449101796407
infys_secc_sitios_c2015_2020_derivado_punto_consotobosquec3_mean_20152020,infys,0.8163157175726578,0.1996605366639532,0.1856100104275286,0.9782608695652174
infys_secc_sitios_c2015_2020_derivado_punto_consubmuestrac3_mean_20152020,infys,0.1700212160161372,0.14938058221952166,0.0,0.5409836065573771
infys_secc_sitios_c2015_2020_derivado_punto_convegmayorgregariosc3_mean_20152020,infys,0.029872348809010178,0.05535950382782066,0.0,0.2455858747993579
infys_suelos_c2015_2020_base_concanalilloscanalesc3_mean_20152020,infys,0.015503504837547151,0.014970363463466472,0.0,0.0470588235294117
infys_suelos_c2015_2020_base_concarcavasc3_mean_20152020,infys,0.02711911782621374,0.027711012586389756,0.0,0.0909090909090909
infys_suelos_c2015_2020_base_concostrasc3_mean_20152020,infys,0.004961678562106433,0.009950737992687062,0.0,0.0539682539682539
infys_suelos_c2015_2020_base_coneedeformaciondelterrenoc3_mean_20152020,infys,0.002324995158266672,0.005763517594535062,0.0,0.0217729393468118
infys_suelos_c2015_2020_base_conehdeformaciondelterrenoc3_mean_20152020,infys,0.07267103969864525,0.06570356596319459,0.0,0.2262773722627737
infys_suelos_c2015_2020_base_conehsuperficialc3_mean_20152020,infys,0.06548620957790065,0.06721946341286189,0.0,0.2249752229930624
infys_suelos_c2015_2020_base_conerosionlaminarc3_mean_20152020,infys,0.06117751054844491,0.06588077623335972,0.0,0.222001982160555
infys_suelos_c2015_2020_base_conmonticulosdunasc3_mean_20152020,infys,0.002324995158266672,0.005763517594535062,0.0,0.0217729393468118
infys_suelos_c2015_2020_base_conpavimentoerosionc3_mean_20152020,infys,0.0005935948761205904,0.0022577625505391294,0.0,0.0123456790123456
infys_suelos_c2015_2020_base_conpedestalc3_mean_20152020,infys,0.04046052501685092,0.05269102770357429,0.0,0.1904761904761904
infys_suelos_c2015_2020_base_porcentajependientedome_mean_20152020,infys,27.131557310667556,12.479910839571653,2.95375,50.15151515151515
infys_sup_base_superficieha_mean_noespecificado,infys,107606.25171831848,84445.54550895668,5948.320953638866,398407.2391308253
infys_sup_c2015_2020_detalle_superficieha_mean_20152020,infys,96292.57465767392,78980.23836615097,5747.355964193552,374838.0464340124
infys_sup_c2015_2020_estatal_superficieforestaltotalha_mean_20152020,infys,4334619.903323203,4771145.870340753,44715.1772682,21610804.96150053
smn_amplitud_termica_c,smn,15.162383199125184,3.361515557947101,3.0,27.7271186440678
smn_evap_mm_mean,smn,4.776364113259556,1.6450613040009892,0.0,30.7
smn_n_estaciones,smn,78.24797875035085,40.871259547853725,0.0,193.0
smn_precip_mm_mean,smn,2.4386835394991877,4.937486700586904,0.0,237.62702702702703
smn_temp_media_c,smn,21.256344107633723,4.9322861401413105,-3.19390243902439,34.120370370370374
smn_tmax_c_mean,smn,28.83751903287972,4.684400256975665,6.504878048780488,43.59747899159663
smn_tmin_c_mean,smn,13.67514577628833,5.688698137961708,-12.892682926829268,27.13333333333333
anio,temporal,2013.000732510457,7.211275294751189,2001.0,2025.0
dia,temporal,15.729398999130572,8.799948234977773,1.0,31.0
dia_del_anio,temporal,183.09744785141675,105.42774969124719,1.0,366.0
es_temporada_incendios,temporal,0.49629979530782553,0.4999871640130525,0.0,1.0
mes,temporal,6.522300493588822,3.4484019270227826,1.0,12.0
semana_iso,temporal,26.56966379823787,15.06035763124377,1.0,53.0
trimestre,temporal,2.5083759490117954,1.1170151705374294,1.0,4.0
