validacion,estado,detalle
kmeans_selected_k,OK,"k=11, esperado=11"
kmeans_clusters_summary,OK,clusters resumen=11
kmeans_summary_has_conafor_rate,OK,columna has_conafor_rate presente=True
kmeans_summary_has_firms_rate,OK,columna has_firms_rate presente=True
kmeans_summary_has_smn_rate,OK,columna has_smn_rate presente=True
hdbscan_obs_rows,OK,"filas HDBSCAN obs=11,154,221"
hdbscan_contraste_clusters,OK,clusters HDBSCAN=2
hdbscan_ruido_registrado,OK,noise_pct=0.17251496092824412
decision_modelo_principal,OK,modelo=PCA + SOM + KMeans
decision_kmeans_k,OK,kmeans_k=11
comparison_10_modelos,OK,filas comparación=2
