fuente,grupo_fuente,formato,ruta,campo,es_critico,tipo_original,n_registros_fuente,nulos,pct_nulos,cardinalidad,ejemplos
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,claveinc,no,object,552,0,0.0,552,13-01-0014 | 13-01-0015 | 13-03-0009 | 13-03-0025 | 13-03-0026
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,estado,si,object,552,0,0.0,26,Aguascalientes | Baja California Sur | Campeche
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,fechainic,si,datetime64[ms],552,0,0.0,136,2013-03-29 | 2013-03-31 | 2013-03-01 | 2013-05-14 | 2013-05-27
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,fechaliq,no,datetime64[ms],552,0,0.0,141,2013-03-29 | 2013-03-31 | 2013-03-04 | 2013-05-16 | 2013-05-27
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,herbac_ha,no,float64,552,1,0.1812,110,12.0 | 4.0 | 10290.0 | 1051.0 | 0.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,hojar_ha,no,float64,552,0,0.0,118,2.0 | 0.0 | 1.0 | 2.87
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,id,no,float64,552,0,0.0,552,1.0 | 2.0 | 3.0 | 4.0 | 5.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,municipio,no,object,552,0,0.0,218,Jesus Maria | Pabellon de Arteaga | Comondu | Los Cabos | La Paz
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,predio,no,object,552,0,0.0,482,Mesa del Pino | Mesa de Garabato | Villa Morelos | Ejido Josefa Ortiz de Dominguez | Palmar Santa Rosa
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,renuev_ha,no,float64,552,0,0.0,55,0.0 | 1.5 | 1.4 | 850.0 | 150.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,suelorg_ha,no,float64,552,0,0.0,22,0.0
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,tipimpac,no,object,552,0,0.0,4,Impacto Minimo | Impacto Moderado
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,tipoinc,no,object,552,0,0.0,4,Superficial | Mixto
incendios_2013,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2013\incendios_2013.shp,tipveg,no,object,552,0,0.0,33,Bosque de Encino | Pastizal Natural | Matorral Sarcocrasicaule | Matorral Sarcocrasicaule de Neblina | Palmar Natural
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,ano,no,float64,628,0,0.0,1,2014.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,anp,no,object,628,0,0.0,21,0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,anp_ha,no,float64,628,0,0.0,44,0.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,arbor_ha,no,float64,628,0,0.0,27,0.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,arbusti_ha,no,float64,628,0,0.0,149,0.0 | 10.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,area_ha,no,float64,628,0,0.0,227,6.3 | 11.2 | 12.0 | 48.0 | 38.0
incendios_2014,serie_anual_shp_evento,shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\conafor\incendios_2014\incendios_2014.shp,causa,no,object,628,0,0.0,13,Otras causas | Intencional | Fumadores
