cve_ent,cluster_id,n_observaciones,dias_con_conafor,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
22,6,9131,721,16822.0,Cluster 6,Baja actividad térmica con alta cobertura meteorológica,Baja,Media,Alta,#2563EB,4
23,5,9131,884,187646.0,Cluster 5,Actividad térmica intermedia,Media,Baja,Baja,#D97706,3
24,1,4,4,2602.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
24,2,9127,807,85944.0,Cluster 2,Actividad térmica intermedia,Media,Media,Alta,#D97706,3
25,3,9131,766,289678.0,Cluster 3,Baja actividad térmica,Baja,Baja,Baja,#2563EB,4
26,1,1,0,1507.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
26,4,9130,825,222680.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
27,9,9131,461,468533.0,Cluster 9,Alta actividad térmica con baja confirmación histórica,Alta,Baja,Alta,#EA580C,2
28,1,2,0,1835.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
28,2,9129,387,196669.0,Cluster 2,Actividad térmica intermedia,Media,Media,Alta,#D97706,3
29,4,1,1,5.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
29,7,9130,1844,14469.0,Cluster 7,Baja actividad térmica con alta cobertura meteorológica,Baja,Alta,Alta,#2563EB,4
30,1,9130,2044,453694.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
30,5,1,1,1051.0,Cluster 5,Actividad térmica intermedia,Media,Baja,Baja,#D97706,3
31,5,9131,461,342295.0,Cluster 5,Actividad térmica intermedia,Media,Baja,Baja,#D97706,3
32,1,1,0,296.0,Cluster 1,Alta actividad térmica con mayor asociación a incendios registrados,Alta,Alta,Alta,#B91C1C,1
32,2,9127,963,61551.0,Cluster 2,Actividad térmica intermedia,Media,Media,Alta,#D97706,3
32,4,3,1,15.0,Cluster 4,Actividad térmica intermedia,Media,Media,Baja,#D97706,3
