scope_type,scope_value,rows_loaded,rows_final,rows_removed_total,pct_removed_total,period_min,period_max,rows_missing_critical,rows_invalid_acq_date,rows_invalid_acq_time,rows_invalid_acq_datetime,rows_outside_project_period,rows_invalid_global_geo,rows_outside_mexico_bbox_aprox,rows_exact_duplicates,rows_logical_duplicates,top_source_file,top_source_product,top_product_family,top_satellite,top_instrument,top_version,top_confidence,top_daynight,top_type,notes
YEAR,2004,48223,48223,0,0.0,2004-01-01,2004-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 48223)]","[('MODIS_ARCHIVE', 48223)]","[('MODIS', 48223)]","[('Aqua', 26379), ('Terra', 21844)]","[('MODIS', 48223)]","[('6.03', 48223)]","[('100', 1552), ('73', 1153), ('70', 1152), ('78', 1152), ('71', 1138), ('74', 1137), ('69', 1113), ('75', 1101), ('77', 1087), ('68', 1068)]","[('D', 43486), ('N', 4737)]","[('0', 44929), ('2', 2928), ('3', 262), ('1', 104)]",Resumen anual del dataset preparado.
YEAR,2005,89361,89361,0,0.0,2005-01-01,2005-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 89361)]","[('MODIS_ARCHIVE', 89361)]","[('MODIS', 89361)]","[('Aqua', 49959), ('Terra', 39402)]","[('MODIS', 89361)]","[('6.03', 89361)]","[('100', 3461), ('73', 2035), ('74', 2034), ('75', 2006), ('72', 1982), ('78', 1978), ('77', 1944), ('70', 1938), ('69', 1921), ('76', 1913)]","[('D', 76728), ('N', 12633)]","[('0', 85802), ('2', 3080), ('3', 337), ('1', 142)]",Resumen anual del dataset preparado.
YEAR,2006,63383,63383,0,0.0,2006-01-01,2006-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 63383)]","[('MODIS_ARCHIVE', 63383)]","[('MODIS', 63383)]","[('Aqua', 34463), ('Terra', 28920)]","[('MODIS', 63383)]","[('6.03', 63383)]","[('100', 2448), ('77', 1458), ('75', 1445), ('74', 1440), ('73', 1431), ('72', 1424), ('70', 1412), ('69', 1392), ('71', 1392), ('79', 1375)]","[('D', 55093), ('N', 8290)]","[('0', 59843), ('2', 3153), ('3', 318), ('1', 69)]",Resumen anual del dataset preparado.
YEAR,2007,63606,63606,0,0.0,2007-01-01,2007-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 63606)]","[('MODIS_ARCHIVE', 63606)]","[('MODIS', 63606)]","[('Aqua', 33550), ('Terra', 30056)]","[('MODIS', 63606)]","[('6.03', 63606)]","[('100', 1983), ('71', 1561), ('72', 1500), ('73', 1472), ('74', 1467), ('76', 1452), ('75', 1444), ('70', 1414), ('77', 1392), ('69', 1390)]","[('D', 55986), ('N', 7620)]","[('0', 59962), ('2', 3237), ('3', 315), ('1', 92)]",Resumen anual del dataset preparado.
YEAR,2008,69922,69922,0,0.0,2008-01-01,2008-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 69922)]","[('MODIS_ARCHIVE', 69922)]","[('MODIS', 69922)]","[('Aqua', 37999), ('Terra', 31923)]","[('MODIS', 69922)]","[('6.03', 69922)]","[('100', 2548), ('73', 1662), ('72', 1656), ('71', 1599), ('76', 1585), ('69', 1580), ('78', 1574), ('75', 1572), ('70', 1569), ('74', 1530)]","[('D', 60995), ('N', 8927)]","[('0', 65972), ('2', 3576), ('3', 296), ('1', 78)]",Resumen anual del dataset preparado.
YEAR,2009,74885,74885,0,0.0,2009-01-01,2009-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 74885)]","[('MODIS_ARCHIVE', 74885)]","[('MODIS', 74885)]","[('Aqua', 41889), ('Terra', 32996)]","[('MODIS', 74885)]","[('6.03', 74885)]","[('100', 3307), ('72', 1701), ('74', 1699), ('75', 1692), ('69', 1671), ('76', 1661), ('73', 1650), ('79', 1644), ('71', 1640), ('70', 1631)]","[('D', 65598), ('N', 9287)]","[('0', 70362), ('2', 4162), ('3', 292), ('1', 69)]",Resumen anual del dataset preparado.
YEAR,2010,55435,55435,0,0.0,2010-01-01,2010-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 55435)]","[('MODIS_ARCHIVE', 55435)]","[('MODIS', 55435)]","[('Aqua', 30268), ('Terra', 25167)]","[('MODIS', 55435)]","[('6.03', 55435)]","[('100', 1770), ('71', 1317), ('75', 1312), ('76', 1294), ('68', 1288), ('73', 1265), ('70', 1261), ('77', 1256), ('74', 1253), ('67', 1228)]","[('D', 49052), ('N', 6383)]","[('0', 50848), ('2', 4194), ('3', 314), ('1', 79)]",Resumen anual del dataset preparado.
YEAR,2011,109335,109335,0,0.0,2011-01-01,2011-12-31,,,,,,,,,,"[('fire_archive_M-C61_686766.csv', 109335)]","[('MODIS_ARCHIVE', 109335)]","[('MODIS', 109335)]","[('Aqua', 57239), ('Terra', 52096)]","[('MODIS', 109335)]","[('6.03', 109335)]","[('100', 7483), ('75', 2294), ('74', 2281), ('73', 2280), ('72', 2275), ('70', 2214), ('76', 2214), ('71', 2196), ('77', 2150), ('69', 2135)]","[('D', 89093), ('N', 20242)]","[('0', 104002), ('2', 4839), ('3', 315), ('1', 179)]",Resumen anual del dataset preparado.
YEAR,2012,379537,379537,0,0.0,2012-01-01,2012-12-31,,,,,,,,,,"[('fire_archive_SV-C2_686770.csv', 312438), ('fire_archive_M-C61_686766.csv', 67099)]","[('SUOMI_VIIRS_ARCHIVE', 312438), ('MODIS_ARCHIVE', 67099)]","[('SUOMI_VIIRS', 312438), ('MODIS', 67099)]","[('N', 312438), ('Aqua', 34883), ('Terra', 32216)]","[('VIIRS', 312438), ('MODIS', 67099)]","[('2', 312438), ('6.03', 67099)]","[('n', 256666), ('l', 37505), ('h', 18267), ('100', 3033), ('75', 1461), ('72', 1457), ('78', 1442), ('77', 1442), ('74', 1427), ('71', 1426)]","[('D', 268577), ('N', 110960)]","[('0', 341856), ('2', 36165), ('1', 788), ('3', 728)]",Resumen anual del dataset preparado.
YEAR,2013,439390,439390,0,0.0,2013-01-01,2013-12-31,,,,,,,,,,"[('fire_archive_SV-C2_686770.csv', 357423), ('fire_archive_M-C61_686766.csv', 81967)]","[('SUOMI_VIIRS_ARCHIVE', 357423), ('MODIS_ARCHIVE', 81967)]","[('SUOMI_VIIRS', 357423), ('MODIS', 81967)]","[('N', 357423), ('Aqua', 44236), ('Terra', 37731)]","[('VIIRS', 357423), ('MODIS', 81967)]","[('2', 357423), ('6.03', 81967)]","[('n', 290745), ('l', 43770), ('h', 22908), ('100', 3670), ('75', 1866), ('72', 1857), ('74', 1817), ('78', 1798), ('77', 1786), ('73', 1772)]","[('D', 324372), ('N', 115018)]","[('0', 403326), ('2', 34263), ('1', 1202), ('3', 599)]",Resumen anual del dataset preparado.
YEAR,2014,226307,226307,0,0.0,2014-01-01,2014-12-31,,,,,,,,,,"[('fire_archive_SV-C2_686770.csv', 184977), ('fire_archive_M-C61_686766.csv', 41330)]","[('SUOMI_VIIRS_ARCHIVE', 184977), ('MODIS_ARCHIVE', 41330)]","[('SUOMI_VIIRS', 184977), ('MODIS', 41330)]","[('N', 184977), ('Aqua', 22698), ('Terra', 18632)]","[('VIIRS', 184977), ('MODIS', 41330)]","[('2', 184977), ('6.03', 41330)]","[('n', 154219), ('l', 21476), ('h', 9282), ('100', 1457), ('71', 1019), ('74', 996), ('70', 976), ('73', 957), ('67', 951), ('77', 941)]","[('D', 174250), ('N', 52057)]","[('0', 189403), ('2', 34437), ('1', 1903), ('3', 564)]",Resumen anual del dataset preparado.
YEAR,2015,288949,288949,0,0.0,2015-01-01,2015-12-31,,,,,,,,,,"[('fire_archive_SV-C2_686770.csv', 232822), ('fire_archive_M-C61_686766.csv', 56127)]","[('SUOMI_VIIRS_ARCHIVE', 232822), ('MODIS_ARCHIVE', 56127)]","[('SUOMI_VIIRS', 232822), ('MODIS', 56127)]","[('N', 232822), ('Aqua', 30658), ('Terra', 25469)]","[('VIIRS', 232822), ('MODIS', 56127)]","[('2', 232822), ('6.03', 56127)]","[('n', 192632), ('l', 27939), ('h', 12251), ('100', 1891), ('75', 1374), ('71', 1365), ('74', 1336), ('73', 1306), ('70', 1281), ('77', 1273)]","[('D', 234631), ('N', 54318)]","[('0', 250627), ('2', 35842), ('1', 1780), ('3', 700)]",Resumen anual del dataset preparado.
YEAR,2016,357282,357282,0,0.0,2016-01-01,2016-12-31,,,,,,,,,,"[('fire_archive_SV-C2_686770.csv', 292191), ('fire_archive_M-C61_686766.csv', 65091)]","[('SUOMI_VIIRS_ARCHIVE', 292191), ('MODIS_ARCHIVE', 65091)]","[('SUOMI_VIIRS', 292191), ('MODIS', 65091)]","[('N', 292191), ('Aqua', 35094), ('Terra', 29997)]","[('VIIRS', 292191), ('MODIS', 65091)]","[('2', 292191), ('6.03', 65091)]","[('n', 242806), ('l', 33988), ('h', 15397), ('100', 2367), ('73', 1507), ('75', 1499), ('70', 1495), ('74', 1487), ('77', 1463), ('71', 1452)]","[('D', 266982), ('N', 90300)]","[('0', 318222), ('2', 36859), ('1', 1551), ('3', 650)]",Resumen anual del dataset preparado.
