tipo_fila,archivo,ruta,carpeta_relativa,formato,tipo_dato,registros,num_campos,campos_presentes,campos_tematicos_candidatos,campos_identificadores_candidatos,crs,epsg,geom_tipos,geom_vacias,geom_invalidas,bbox,raster_width,raster_height,raster_res_x,raster_res_y,raster_nodata,raster_dtype,raster_count,campo_nombre,campo_dtype_observado,campo_nulos,campo_nulos_pct,campo_unicos,campo_top_valores,campo_min_text_len,campo_max_text_len,campo_numeric_min,campo_numeric_max,campo_numeric_mean,raster_band,raster_valid_pixels,raster_nodata_pixels,raster_min,raster_max,raster_mean,shp_tiene_dbf,shp_tiene_shx,shp_tiene_prj,shp_tiene_cpg,shp_sidecars_faltantes,observaciones
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_CS_G3,str,0.0,0.0,58.0,"[[""N"", 57045], [""N/A"", 10673], [""Eutrico"", 1664], [""Calcárico"", 1287], [""Esquelético"", 1220], [""Húmico"", 779], [""Crómico"", 536], [""Dístrico"", 431], [""Epiesquelético"", 326], [""Mázico"", 222]]",1.0,16.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,N_CP_G3,str,0.0,0.0,84.0,"[[""N"", 53083], [""N/A"", 10673], [""Epiléptico"", 2788], [""Lítico"", 1766], [""Endoléptico"", 818], [""Calcárico"", 764], [""Eutrico"", 752], [""Esquelético"", 588], [""Réndzico"", 464], [""Háplico"", 409]]",1.0,16.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,TEXTURA,str,0.0,0.0,4.0,"[[""MEDIA"", 40111], [""FINA"", 13861], [""GRUESA"", 10846], [""N/A"", 10673]]",3.0,6.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,F_SUPERF,str,0.0,0.0,4.0,"[[""N"", 37234], [""PEDREGOSA"", 16432], [""GRAVOSA"", 11152], [""N/A"", 10673]]",1.0,9.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,TIP_INFO,str,0.0,0.0,2.0,"[[""UNIDAD EDAFOLOGICA"", 64818], [""INFORMACION COMPLEMENTARIA"", 10673]]",18.0,26.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
campo,cdv_edaf_esc_250k_serie II_cont_nac.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\edafologia\conjunto_de_datos\cdv_edaf_esc_250k_serie II_cont_nac.shp,edafologia\conjunto_de_datos,SHP,vector,75491.0,25.0,,,,,,,,,,,,,,,,,CAL_POS,str,0.0,0.0,2.0,"[[""Aproximada"", 64913], [""Definida"", 10578]]",8.0,10.0,,,,,,,,,,True,True,False,False,.prj;.cpg,
archivo,provincias_fisiograficas.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\fisiografia\conjunto_de_datos\provincias_fisiograficas.shp,fisiografia\conjunto_de_datos,SHP,vector,733.0,11.0,"[""OBJECTID"", ""AREA"", ""PERIMETER"", ""CNAL1FIP_"", ""CNAL1FIP_I"", ""CLAVE"", ""FC"", ""ENTIDAD"", ""NOMBRE"", ""SHAPE_area"", ""SHAPE_len""]","[""CLAVE"", ""NOMBRE""]","[""CLAVE"", ""ENTIDAD"", ""OBJECTID""]","PROJCS[""North_America_Lambert_Conformal_Conic"",GEOGCS[""ITRF92"",DATUM[""International_Terrestrial_Reference_Frame_1992"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6651""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",,"{""Polygon"": 733}",0.0,0.0,"{""maxx"": 4427354.750183, ""maxy"": 2767388.500344, ""minx"": 683171.745608, ""miny"": 124.680039}",,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,False,.cpg,sidecars_faltantes=.cpg
campo,provincias_fisiograficas.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\fisiografia\conjunto_de_datos\provincias_fisiograficas.shp,fisiografia\conjunto_de_datos,SHP,vector,733.0,11.0,,,,"PROJCS[""North_America_Lambert_Conformal_Conic"",GEOGCS[""ITRF92"",DATUM[""International_Terrestrial_Reference_Frame_1992"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6651""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",,,,,,,,,,,,,OBJECTID,int,0.0,0.0,733.0,"[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [8, 1], [9, 1], [10, 1]]",,,1.0,733.0,367.0,,,,,,,True,True,True,False,.cpg,
campo,provincias_fisiograficas.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\fisiografia\conjunto_de_datos\provincias_fisiograficas.shp,fisiografia\conjunto_de_datos,SHP,vector,733.0,11.0,,,,"PROJCS[""North_America_Lambert_Conformal_Conic"",GEOGCS[""ITRF92"",DATUM[""International_Terrestrial_Reference_Frame_1992"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6651""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",,,,,,,,,,,,,AREA,float,0.0,0.0,733.0,"[[818393776128.0, 1], [1871660000000.0, 1], [130536546304.0, 1], [104197349376.0, 1], [585380544.0, 1], [496336.0, 1], [187194.5, 1], [1700382.5, 1], [93882088.0, 1], [90681048.0, 1]]",,,3960.0,1871660000000.0,7712131054.578739,,,,,,,True,True,True,False,.cpg,
campo,provincias_fisiograficas.shp,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\01_raw-data\inegi\fisiografia\conjunto_de_datos\provincias_fisiograficas.shp,fisiografia\conjunto_de_datos,SHP,vector,733.0,11.0,,,,"PROJCS[""North_America_Lambert_Conformal_Conic"",GEOGCS[""ITRF92"",DATUM[""International_Terrestrial_Reference_Frame_1992"",SPHEROID[""GRS 1980"",6378137,298.257222101,AUTHORITY[""EPSG"",""7019""]],AUTHORITY[""EPSG"",""6651""]],PRIMEM[""Greenwich"",0],UNIT[""Degree"",0.0174532925199433]],PROJECTION[""Lambert_Conformal_Conic_2SP""],PARAMETER[""latitude_of_origin"",12],PARAMETER[""central_meridian"",-102],PARAMETER[""standard_parallel_1"",17.5],PARAMETER[""standard_parallel_2"",29.5],PARAMETER[""false_easting"",2500000],PARAMETER[""false_northing"",0],UNIT[""metre"",1,AUTHORITY[""EPSG"",""9001""]],AXIS[""Easting"",EAST],AXIS[""Northing"",NORTH]]",,,,,,,,,,,,,PERIMETER,float,0.0,0.0,733.0,"[[8290711.0, 1], [20047056.0, 1], [4713367.0, 1], [3725046.25, 1], [226198.172, 1], [3416.069, 1], [1829.059, 1], [7377.713, 1], [63900.902, 1], [74072.281, 1]]",,,268.367,20047056.0,171899.08633424283,,,,,,,True,True,True,False,.cpg,
