cve_ent,cluster_id,n_observaciones,dias_con_firms,dias_con_conafor,dias_con_smn,firms_total,cluster_label,cluster_name,nivel_actividad_firms,nivel_confirmacion_conafor,nivel_cobertura_smn,color_sugerido,orden_visualizacion
5,2,14294,595,46,14005,1031.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
6,2,13052,1555,132,13031,4502.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
7,2,121748,20966,1222,115160,97483.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
8,2,31171,4851,498,27810,25576.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
9,2,2233,155,316,2215,646.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
10,2,50368,1540,45,50236,5148.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
11,2,98618,11416,238,97506,37460.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
12,2,194207,28270,1345,190345,206966.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
13,2,97910,9497,383,93072,27895.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
14,2,199615,28720,3722,187009,126486.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
15,2,123422,6806,3926,121877,19005.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
16,2,135481,26258,3241,122236,120354.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
17,2,62686,5538,315,61255,10539.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
18,2,23076,3802,177,22766,23451.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
19,2,58436,3884,118,56789,10049.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
20,2,134553,25313,683,116655,93727.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
21,2,121474,10517,818,118048,22431.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
22,2,29012,1625,173,28696,3345.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
23,2,603,185,10,513,1008.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
24,2,127224,7491,321,125991,18253.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
25,2,22034,3327,175,21923,18068.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
26,2,89472,2934,159,88563,11793.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
27,2,504,19,0,504,45.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
28,2,75696,11920,123,73571,36153.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
29,2,3981,140,44,3897,305.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
30,2,115279,22073,435,105820,81289.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
31,2,31938,3094,36,31698,12172.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
32,2,122988,3247,336,122400,10467.0,Cluster 2,Baja actividad térmica,Baja,Media,Baja,#2563EB,4
1,4,23375,808,99,23333,1509.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
2,4,13,2,0,13,2.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
3,4,1,1,0,1,1.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
4,4,7475,753,1,7456,3424.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
5,4,1316,131,1,1190,259.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
6,4,8748,999,10,8694,2423.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
7,4,72474,6695,326,69871,22808.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
8,4,8101,1387,387,7585,10244.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
9,4,9340,266,136,9337,525.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
10,4,23558,167,2,23550,283.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
11,4,84596,8159,57,83362,20152.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
12,4,66772,7577,284,63867,32462.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
13,4,101437,5384,388,97474,12954.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
14,4,83710,12335,421,78519,39708.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
15,4,109530,7685,2347,106249,19242.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
16,4,64418,9512,1453,56718,34433.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
17,4,87798,4205,891,87152,9877.0,Cluster 4,Baja actividad térmica con alta cobertura meteorológica,Baja,Baja,Alta,#2563EB,4
