dataset,ruta,granularidad,tipo_bloque,columna,fuente_inferida,rol_metodologico,estatus_feature,riesgo_leakage,dtype_observado,filas_dataset,columnas_dataset,nulos,nulos_pct,unicos,valor_mas_frecuente,valor_mas_frecuente_freq,valor_mas_frecuente_pct,es_constante,nulos_50pct_o_mas,columna_totalmente_nula,candidata_numerica,numeric_min,numeric_max,numeric_mean,numeric_median,numeric_std,numeric_p01,numeric_p99,valores_negativos,valores_cero,valores_infinitos_aprox
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_imasubmuestra_mean_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,28,0.0070061566666666,1.0,3.5714,False,False,False,True,0.006349865,0.0539392615624999,0.02565453444151578,0.02733288790081495,0.014086464342318939,0.006527063749999982,0.05166391877643289,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_imasubmuestra_valid_count_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,41.0,2.0,7.1429,False,False,False,True,2.0,2619.0,358.7142857142857,131.5,663.862371788949,2.27,2594.43,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_n_registros_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,263.0,2.0,7.1429,False,False,False,True,2.0,2704.0,369.5,131.5,688.9068904458017,2.27,2688.88,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_sitio_mean_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,26,2.5,3.0,10.7143,False,False,False,True,2.0,3.0,2.4723711650639224,2.491753833353144,0.1566962904383018,2.045,2.888478260869565,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_sitio_valid_count_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,263.0,2.0,7.1429,False,False,False,True,2.0,2704.0,369.5,131.5,688.9068904458017,2.27,2688.88,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_sitiosxcglc3_mean_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,25,4.0,4.0,14.2857,False,False,False,True,3.333333333333333,4.0,3.928107036651153,3.9581386292834893,0.13266966572661607,3.423333333333333,4.0,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_sitiosxcglc3_valid_count_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,263.0,2.0,7.1429,False,False,False,True,2.0,2704.0,369.5,131.5,688.9068904458017,2.27,2688.88,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_submuestra_mean_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,28,2.6666666666666665,1.0,3.5714,False,False,False,True,1.5,2.731707317073171,2.326286646212129,2.354603623067974,0.2798392829871058,1.545,2.7182372505543237,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_ind_ima_submuestra_valid_count_20152020,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,4,12.5,27,263.0,2.0,7.1429,False,False,False,True,2.0,2704.0,369.5,131.5,688.9068904458017,2.27,2688.88,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_sitios_c2009_2014_derivado_mun_consenial_mean_20092014,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,2,6.25,24,1.0,7.0,23.3333,False,False,False,True,0.9733009708737864,1.0,0.9952245852374024,0.9977862242774355,0.00685670758001184,0.9739689779285348,1.0,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_sitios_c2009_2014_derivado_mun_distancia_mean_20092014,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,2,6.25,24,0.0,7.0,23.3333,False,False,False,True,0.0,8.75264139216905,0.7207788174734904,0.11755891819897143,1.8648599997386042,0.0,7.905862377287612,0.0,7.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_sitios_c2009_2014_derivado_mun_errorprecisionaux_mean_20092014,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,2,6.25,23,0.0,8.0,26.6667,False,False,False,True,0.0,0.1945477075588599,0.03212856752808458,0.0135352642939611,0.047677451540715184,0.0,0.19000814092814766,0.0,8.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_altitud_mean_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,2264.2051282051284,1.0,3.2258,False,False,False,True,43.27076923076923,2756.8823529411766,1186.0087545168863,1083.224075039083,769.9126655883701,44.05285723883104,2609.0791855203615,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_altitud_valid_count_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,39.0,1.0,3.2258,False,False,False,True,17.0,2793.0,739.3548387096774,533.0,675.976160742724,20.6,2579.6999999999994,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_conglomerado_mean_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,47233.179487179485,1.0,3.2258,False,False,False,True,5427.866228070176,74613.22802379378,48946.79162818773,51747.71028037383,18328.435290641533,6873.798492288915,74354.20283954722,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_conglomerado_valid_count_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,39.0,1.0,3.2258,False,False,False,True,17.0,2803.0,754.1290322580645,536.0,683.4327931813772,20.9,2590.8999999999996,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_coordx_mean_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,-102.58276106267805,1.0,3.2258,False,False,False,True,-115.09464828680748,-88.16690420615278,-100.52033713466211,-99.92809399453552,6.303458650139702,-114.0923698652341,-88.32937294771136,31.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_coordx_valid_count_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,39.0,1.0,3.2258,False,False,False,True,17.0,2635.0,675.6129032258065,515.0,607.5649033872488,20.9,2392.5999999999995,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_coordy_mean_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,22.0132319031339,1.0,3.2258,False,False,False,True,16.439631966279713,30.449859856596262,21.733659960528886,20.68616368801553,3.708393635913621,16.58373803068261,30.153308245129693,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_coordy_valid_count_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,39.0,1.0,3.2258,False,False,False,True,17.0,2635.0,675.6129032258065,515.0,607.5649033872488,20.9,2392.5999999999995,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_n_registros_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,39.0,1.0,3.2258,False,False,False,True,17.0,2803.0,754.1290322580645,536.0,683.4327931813772,20.9,2590.8999999999996,0.0,0.0,0.0
infys_entidad_contexto,C:\Users\Hp\OneDrive\Documentos\PT_Analisis\04_integration\datasets\integracion_infys_entidad_contexto.csv,entidad,contexto_infys,infys_secc_cong_c2004_2009_derivado_mun_pendiente_mean_20042009,infys,variable_base,candidata_revisar,bajo_revisar_contexto,float64,32,300,1,3.125,31,23.41025641025641,1.0,3.2258,False,False,False,True,3.3207692307692307,44.17860262008733,24.05539290846707,24.29256594724221,11.662206029315596,3.4564816929795095,43.59699003194099,0.0,0.0,0.0
